t,rc
0.004580153,0.090839695
0.006870229,0.123664122
0.009541985,0.148854962
0.011832061,0.170992366
0.015267176,0.187022901
0.017175573,0.203816794
0.019465649,0.216030534
0.022137405,0.233587786
0.02480916,0.245801527
0.030916031,0.26870229
0.033587786,0.279389313
0.035496183,0.288549618
0.038167939,0.3
0.040839695,0.309923664
0.04389313,0.322137405
0.045419847,0.329007634
0.048854962,0.340458015
0.054198473,0.357251908
0.058396947,0.369465649
0.064122137,0.385496183
0.069465649,0.402290076
0.077480916,0.423664122
0.090458015,0.454198473
0.100763359,0.480152672
