t,rc
0.004198473,0.064122137
0.008396947,0.11221374
0.01221374,0.141984733
0.015648855,0.164885496
0.019465649,0.186259542
0.022900763,0.203053435
0.027480916,0.220610687
0.03129771,0.234351145
0.034351145,0.248091603
0.038931298,0.258778626
0.042366412,0.270229008
0.046564885,0.283206107
0.054198473,0.302290076
0.069847328,0.338167939
0.080916031,0.361068702
0.092748092,0.383969466
0.108396947,0.409923664
0.123664122,0.433587786
0.143129771,0.461068702
0.166412214,0.488549618
0.185496183,0.509923664
0.224045802,0.550381679
0.250763359,0.575572519
